2026-04-18 17:41:40 | WARNING | ERRO [aprt20163999_1.pdf] https://www2.aneel.gov.br/cedoc/aprt20163999_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:41:40 | WARNING | ERRO [rea20165831_1.pdf] https://www2.aneel.gov.br/cedoc/rea20165831_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:41:40 | WARNING | ERRO [adsp20161316_1.pdf] https://www2.aneel.gov.br/cedoc/adsp20161316_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:42:05 | WARNING | ERRO [reh20162073_1.pdf] https://www2.aneel.gov.br/cedoc/reh20162073_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:42:05 | WARNING | ERRO [aprt20163960_1.pdf] https://www2.aneel.gov.br/cedoc/aprt20163960_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:42:05 | WARNING | ERRO [area20165736_.pdf] https://www2.aneel.gov.br/cedoc/area20165736_.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:42:06 | WARNING | ERRO [rea20165669_1.pdf] https://www2.aneel.gov.br/cedoc/rea20165669_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:42:31 | WARNING | ERRO [adsp2016304_1.pdf] https://www2.aneel.gov.br/cedoc/adsp2016304_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:42:31 | WARNING | ERRO [areh20212995_1.pdf] https://www2.aneel.gov.br/cedoc/areh20212995_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:42:31 | WARNING | ERRO [prt20163819.pdf] https://aneel.gov.br/cedoc/prt20163819.pdf | HTTPError: HTTP Error 404: Not Found
2026-04-18 17:42:31 | WARNING | ERRO [nreh20212957.pdf] https://www2.aneel.gov.br/cedoc/nreh20212957.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:42:57 | WARNING | ERRO [adsp2021181.pdf] https://www2.aneel.gov.br/cedoc/adsp2021181.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:43:00 | WARNING | ERRO [adsp20223720_1.pdf] https://www2.aneel.gov.br/cedoc/adsp20223720_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:43:00 | WARNING | ERRO [areh20223164xlsm.pdf] https://www2.aneel.gov.br/cedoc/areh20223164xlsm.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:43:00 | WARNING | ERRO [ndsp20223576.pdf] https://www2.aneel.gov.br/cedoc/ndsp20223576.pdf | HTTPError: HTTP Error 404: 
